Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"McCroary, Liam",JGDMS4JI189CA9,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Eisenlauer, Fabian",JGDMS4JI1892E0,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Kreutzer, Julian",JGDMS4JI1891B0,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Fricker, Oli",JGDMS4JI186988,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Enthoven, Maarten",JGDMS4JI187457,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Hupkes, Elte",JGDMS4JI1858F8,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Weersma, Hidde",JGDMS4JI1869CB,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Maes, Pieter",JGDMS4JI188084,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Jackson, Daniel",JGDMS4JI189DAC,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Parkin, David",JGDMS4JI188D68,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Lemmelijn, Ward",JGDMS4JI1863D6,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Karsch, Marvin",JGDMS4JI185EE5,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Kent, Joshua",JGDMS4JI1873CC,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Walker, Ross",JGDMS4JI185881,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Themann, Hendrik",JGDMS4JI185299,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 AMSTERDAM,EUROPE,NL,7,PRO MEN,"Pedro, Joao",JGDMS4JI18924E,HPRO_NLAOveralll,,,,,,,,,,,,,,,,,,,–,–,,
