Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Thompson, Harry",JGDMS4JI1ADD78,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Wenisch, Tim",JGDMS4JI1B6B9C,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Botterill, Charlie",JGDMS4JI1AAFEA,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Carlisle, John",JGDMS4JI1A9134,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Revell, Tony",JGDMS4JI1AD6EB,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Sloan, Andy",JGDMS4JI1A95B5,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Parkinson, Ciaran",JGDMS4JI1AEC57,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"D, M",JGDMS4JI1AB949,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Stephens, Michael",JGDMS4JI1A9551,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Spilman, Ben",JGDMS4JI1AF1C7,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Lynch, Mark",JGDMS4JI1AD7A1,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Mcmeeken, Niall",JGDMS4JI1AAC37,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Parkin, David",JGDMS4JI1AB485,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Rees, Bodger",JGDMS4JI1AB60E,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Odonnell, Michael",JGDMS4JI1A99E6,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Tynan, Lee",JGDMS4JI1AE76A,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Woodman, Aaron",JGDMS4JI1AD122,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Bandeen, Sam",JGDMS4JI1AF520,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Sablinskas, Erlandas",JGDMS4JI1AC877,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Overend, Lewis",JGDMS4JI1A9E89,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Greenwood, Chris",JGDMS4JI1AD619,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Burton, George",JGDMS4JI1AD7B2,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Watkins, Barry",JGDMS4JI1AF8C2,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Smith, Trent",JGDMS4JI1ACC3A,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Townsend, John",JGDMS4JI1AA19F,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Channing-Phillips, Michal",JGDMS4JI1AE29B,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Mcgregor, Liam",JGDMS4JI1ADDC0,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Cowling, Nicholas",JGDMS4JI1ABADB,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Jackson, Daniel",JGDMS4JI1AEAF3,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Tobin, Will",JGDMS4JI1AA81E,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Tanner, Lewis",JGDMS4JI1AD148,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Eloff, Ryan",JGDMS4JI1AA57A,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Holland, Connor",JGDMS4JI1AFA1A,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Dean, John",JGDMS4JI1A904F,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Woodward, Jeff",JGDMS4JI1AE4B4,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Bird, Harry",JGDMS4JI1AE3B6,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Willard, Vincent",JGDMS4JI1AF814,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Rascagneres, Fabien",JGDMS4JI1AF991,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Mccartney, George",JGDMS4JI1AE3E2,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Woods, Robert",JGDMS4JI1AA8AC,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Beattie, Paul",JGDMS4JI1ADEAA,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Clarke, Dean",JGDMS4JI1AF878,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"James, Bradley",JGDMS4JI1AC289,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Hanson, Jordan",JGDMS4JI1A94A7,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Stafford, Ryan",JGDMS4JI1A9797,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Bradley, Rob",JGDMS4JI1AC874,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Mccarthy, Luke",JGDMS4JI1A9EB0,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Ringwood, Curtis",JGDMS4JI1A959B,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"Sinden, Warren",JGDMS4JI1AB2B1,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 BIRMINGHAM,EUROPE,GB,7,PRO MEN,"O'brien, Paul",JGDMS4JI1AE974,HPRO_UKBOveralll,,,,,,,,,,,,,,,,,,,–,–,,
