Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Noble, Sean",JGDMS4JI1DF808,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Travers, Aaron",JGDMS4JI1DF9C2,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Mc Gowan, Shane",JGDMS4JI1DCD89,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Woodman, Aaron",JGDMS4JI1DCE98,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Docherty, Aaron",JGDMS4JI1DEFE4,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"O'Brien, Paul",JGDMS4JI1E02FB,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Beattie, Paul",JGDMS4JI1DD49E,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Owen, Chris",JGDMS4JI1DEC9D,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Bourke, Damien",JGDMS4JI1DF597,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Mc Laughlin, Sean",JGDMS4JI1DFACA,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Grobien, Fritz",JGDMS4JI1DCFA9,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Watkins, Barry",JGDMS4JI1DDA30,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Ryan, Paul",JGDMS4JI1E03B5,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Carroll, Tadgh",JGDMS4JI1DE7B3,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 DUBLIN,EUROPE,IE,7,PRO MEN,"Mcginley, Reece",JGDMS4JI1DFFBC,HPRO_IEDOverall,,,,,,,,,,,,,,,,,,,–,–,,
