Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2024 LONDON,EUROPE,GB,7,PRO MEN,"Thompson, Harry",JGDMS4JI1F2B53,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Bianchi, Eugenio",JGDMS4JI1F4504,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Noble, Sean",JGDMS4JI1F2A91,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Rae, Danny",JGDMS4JI1F72B0,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Hogan, Ryan",JGDMS4JI1F8379,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Lawson, Tom",JGDMS4JI1F52A5,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Smith, Trent",JGDMS4JI1F5880,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Means, William",JGDMS4JI1F732B,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Sutherland, Ben",JGDMS4JI1F4FB4,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Sloan, Andrew",JGDMS4JI1F842C,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Gast, Florian",JGDMS4JI1F3CE4,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Phillips, Sean",JGDMS4JI1F44B4,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Harold, Stephen",JGDMS4JI1F6CA1,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Lindsay, Ronan",JGDMS4JI1F4C33,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Mccroary, Liam",JGDMS4JI1F8786,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Bird, Harry",JGDMS4JI1F8142,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Bucci, Michele",JGDMS4JI1F4012,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Leader, Joseph",JGDMS4JI1F3294,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Ritchie, Darren",JGDMS4JI1F6614,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Tew, Cameron",JGDMS4JI1F3769,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Di Tavi, Gaetano",JGDMS4JI1F6B63,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Ives, James",JGDMS4JI1F699A,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Reid, Stephen",JGDMS4JI1F25A4,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Vercouter, Félix",JGDMS4JI1F2B93,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Molloy, Michael",JGDMS4JI1F6AB1,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"O’Donnell, Michael",JGDMS4JI1F7A8B,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
2024 LONDON,EUROPE,GB,7,PRO MEN,"Pearson, Brendan",JGDMS4JI1F59F2,HPRO_UKLOverall,,,,,,,,,,,,,,,,,,,–,–,,
