Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Wallace, Marcus",JGDMS4JI180075,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Miller, Dawson",JGDMS4JI180561,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Magida, David",JGDMS4JI1813E6,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Stiefer, Colin",JGDMS4JI181453,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Bruce, Jesse",JGDMS4JI180898,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Blekkan, Steffen",JGDMS4JI17FF60,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Hébert, Samuel",JGDMS4JI1814A4,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Sanderson, Isaac",JGDMS4JI181CA1,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Walkington, Cole",JGDMS4JI17FBC9,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Mahan, Jerimiah",JGDMS4JI18083F,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Mayoute, Nicolas",JGDMS4JI18196A,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Di Fulvio, Adam",JGDMS4JI180787,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Atkins, Ryan",JGDMS4JI17FDC2,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Dube, Frédéric",JGDMS4JI17FEAE,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Ouahrig, Youssef",JGDMS4JI17FA1D,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Coleman, Chad",JGDMS4JI1800AC,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Fecik, Mike",JGDMS4JI17FA4F,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"De Jong, Adam",JGDMS4JI1807B5,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Bieling, Gordon",JGDMS4JI181C68,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Evans, David",JGDMS4JI181BF4,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
2024 TORONTO,NORTH AMERICA,CA,7,PRO MEN,"Walkington, Alex",JGDMS4JI181E9A,HPRO_CATOveralll,,,,,,,,,,,,,,,,,,,–,–,,
