Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Osselaer, Louis",LR3MS4JI2D43D4,HPRO_LR3MS4JIA54,281.0,229.0,189.0,128.0,193.0,215.0,201.0,174.0,205.0,237.0,202.0,96.0,204.0,203.0,219.0,246.0,,,BEL,30-34,00:59:41,3581
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Coquillaud-Salomon, Julien",LR3MS4JI2D3BD7,HPRO_LR3MS4JIA54,279.0,238.0,178.0,121.0,186.0,273.0,184.0,213.0,196.0,258.0,190.0,91.0,188.0,188.0,209.0,251.0,,,FRA,30-34,00:59:42,3582
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Lemmelijn, Ward",LR3MS4JI2D32AF,HPRO_LR3MS4JIA54,286.0,219.0,197.0,130.0,218.0,198.0,213.0,198.0,210.0,222.0,210.0,92.0,215.0,169.0,230.0,207.0,,,BEL,25-29,00:59:59,3599
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Williams, Harvey",LR3MS4JI2D2476,HPRO_LR3MS4JIA54,265.0,252.0,180.0,147.0,189.0,262.0,197.0,175.0,188.0,250.0,186.0,85.0,188.0,202.0,198.0,273.0,,,GBR,16-24,01:00:02,3602
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"van Herk, Robert",LR3MS4JI2D5B13,HPRO_LR3MS4JIA54,275.0,237.0,192.0,151.0,198.0,258.0,199.0,174.0,193.0,251.0,193.0,97.0,195.0,206.0,214.0,253.0,,,NED,40-44,01:00:51,3651
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Avenel, Maxime",LR3MS4JI2D33AB,HPRO_LR3MS4JIA54,290.0,246.0,197.0,136.0,201.0,289.0,218.0,178.0,197.0,253.0,203.0,95.0,200.0,211.0,218.0,248.0,,,FRA,30-34,01:02:41,3761
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Jankovits, Yannick",LR3MS4JI2D3347,HPRO_LR3MS4JIA54,289.0,242.0,199.0,155.0,207.0,266.0,214.0,167.0,213.0,244.0,214.0,97.0,217.0,230.0,242.0,233.0,,,FRA,35-39,01:03:37,3817
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Verstuyft, Kwinten",LR3MS4JI2D553C,HPRO_LR3MS4JIA54,278.0,243.0,188.0,166.0,194.0,262.0,201.0,205.0,204.0,256.0,196.0,113.0,197.0,231.0,219.0,291.0,,,BEL,35-39,01:03:38,3818
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Olsen, Jørgen Dahl",LR3MS4JI2D3CEF,HPRO_LR3MS4JIA54,290.0,233.0,190.0,144.0,195.0,214.0,200.0,198.0,198.0,247.0,202.0,84.0,203.0,220.0,225.0,405.0,,,NOR,25-29,01:03:51,3831
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Jenkins, Fergus",LR3MS4JI2D5CAB,HPRO_LR3MS4JIA54,291.0,232.0,195.0,166.0,209.0,266.0,217.0,181.0,213.0,240.0,211.0,87.0,214.0,195.0,236.0,302.0,,,GBR,25-29,01:03:53,3833
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Evrard, Julien",LR3MS4JI2D4413,HPRO_LR3MS4JIA54,293.0,253.0,197.0,154.0,202.0,364.0,206.0,167.0,207.0,257.0,202.0,86.0,202.0,216.0,220.0,251.0,,,BEL,25-29,01:04:21,3861
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Nieuwenhuis, Mark",LR3MS4JI2D221B,HPRO_LR3MS4JIA54,318.0,224.0,207.0,156.0,222.0,250.0,220.0,206.0,227.0,246.0,225.0,80.0,221.0,207.0,234.0,233.0,,,NED,30-34,01:04:38,3878
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Hahnsch, Felix",LR3MS4JI2D243A,HPRO_LR3MS4JIA54,286.0,234.0,201.0,146.0,208.0,247.0,217.0,211.0,213.0,247.0,214.0,104.0,218.0,263.0,233.0,257.0,,,GER,30-34,01:04:43,3883
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Lemmelijn, Lode",LR3MS4JI2D55CC,HPRO_LR3MS4JIA54,281.0,224.0,205.0,129.0,216.0,242.0,225.0,226.0,226.0,230.0,226.0,95.0,214.0,223.0,261.0,275.0,,,BEL,25-29,01:05:19,3919
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Korteweg, Sander",LR3MS4JI2D2B11,HPRO_LR3MS4JIA54,289.0,238.0,195.0,154.0,206.0,256.0,220.0,214.0,225.0,250.0,231.0,97.0,218.0,198.0,246.0,280.0,,,NED,25-29,01:05:20,3920
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Vercouter, Félix",LR3MS4JI2D3B5D,HPRO_LR3MS4JIA54,274.0,229.0,198.0,169.0,213.0,293.0,220.0,193.0,206.0,244.0,213.0,110.0,213.0,254.0,231.0,270.0,,,BEL,30-34,01:05:24,3924
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Moger, Levi",LR3MS4JI2D24F6,HPRO_LR3MS4JIA54,341.0,243.0,223.0,182.0,218.0,288.0,219.0,192.0,219.0,241.0,213.0,95.0,205.0,219.0,227.0,231.0,,,AUS,16-24,01:05:54,3954
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Stewart, Kyle",LR3MS4JI2D3424,HPRO_LR3MS4JIA54,282.0,237.0,204.0,174.0,206.0,290.0,210.0,198.0,212.0,252.0,209.0,94.0,213.0,258.0,228.0,301.0,,,GBR,35-39,01:05:57,3957
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Janssen, Steven",LR3MS4JI2D231C,HPRO_LR3MS4JIA54,287.0,238.0,192.0,141.0,203.0,261.0,205.0,225.0,202.0,245.0,205.0,96.0,224.0,264.0,238.0,326.0,,,BEL,35-39,01:05:59,3959
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Sloan, David",LR3MS4JI2D550F,HPRO_LR3MS4JIA54,308.0,242.0,212.0,170.0,214.0,250.0,213.0,211.0,216.0,253.0,210.0,111.0,211.0,251.0,230.0,268.0,,,GBR,40-44,01:06:03,3963
2025 BELGIUM,EUROPE,BE,7,PRO MEN,"Colbert, Lewis",LR3MS4JI2D5C48,HPRO_LR3MS4JIA54,284.0,235.0,198.0,165.0,205.0,382.0,216.0,194.0,208.0,248.0,210.0,94.0,213.0,234.0,228.0,263.0,,,GBR,25-29,01:06:10,3970
