Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Aguayo, Emilio",LR3MS4JI306E7F,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Hynek, Richard",LR3MS4JI305356,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Ploj, Alen",LR3MS4JI304FCE,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Lizarazu Hormilla, Aitor",LR3MS4JI304BA1,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Stephens, Michael",LR3MS4JI302241,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Tvrdik, Tomas",LR3MS4JI3012AC,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Burton, Hakan",LR3MS4JI305069,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Dean, Marc",LR3MS4JI3015C5,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Valverde Reyes, Pablo",LR3MS4JI302AC0,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Löschke, Franz",LR3MS4JI3058D4,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Humphries, Afan",LR3MS4JI3025A3,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Bernier, Alexis",LR3MS4JI304C90,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Rees, Bodger",LR3MS4JI3015C3,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Weindl, Paul",LR3MS4JI305C66,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Fricker, Oli",LR3MS4JI30175C,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Lindsay, Ronan",LR3MS4JI302000,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Pedrocchi, Tiziano",LR3MS4JI305AE1,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Ennis, Luke",LR3MS4JI309FCE,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Gast, Florian",LR3MS4JI30117A,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Storath, Lukas",LR3MS4JI300FA0,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Czapla, Jannik",LR3MS4JI307021,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Eisenlauer, Fabian",LR3MS4JI304B68,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Noble, Sean",LR3MS4JI306BBB,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Woodward, Erik",LR3MS4JI304B92,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Pratt, Jamie",LR3MS4JI30237D,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Rosa De Almeida, Joao",LR3MS4JI303BCA,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Williamson, Jake",LR3MS4JI305642,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Lousa, Tiago",LR3MS4JI3008AB,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Mc Laughlin, Sean",LR3MS4JI3035D1,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Hupkes, Elte",LR3MS4JI3066A0,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Leader, Joseph",LR3MS4JI304BD5,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Fry, Thomas",LR3MS4JI305003,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Parkin, David",LR3MS4JI30430E,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"O'Brien, Paul",LR3MS4JI30350E,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Pranjic, Ivan",LR3MS4JI3007D0,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Maizzou, Achraf",LR3MS4JI300CC0,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 BERLIN,EUROPE,DE,7,PRO MEN,"Funken, Marcus",LR3MS4JI3057F7,HPRO_BERLIN2025_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
