Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Rae, Danny",LR3MS4JI32243F,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Dean, Marc",LR3MS4JI31FCD3,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Humphries, Afan",LR3MS4JI321EF9,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Tynan, Lee",LR3MS4JI3239B2,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Rees, Bodger",LR3MS4JI320A31,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Jackson, Dan",LR3MS4JI3230FF,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Craig, Sam",LR3MS4JI31FCCB,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Revell, Tony",LR3MS4JI322080,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Smith, Beau",LR3MS4JI31FCEC,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Phillips, James",LR3MS4JI320541,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Iriondo, Jon",LR3MS4JI31FF9C,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Wright, Ben",LR3MS4JI31FD80,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Weaver, Carl",LR3MS4JI323098,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Sloan, Andy",LR3MS4JI3203AD,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Burton, George",LR3MS4JI320378,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Bloor, Matthew",LR3MS4JI32385A,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Tobin, Will",LR3MS4JI3227F4,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Wood, James",LR3MS4JI322802,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Jenkins, Fergus",LR3MS4JI323A5C,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Macvicar, Will",LR3MS4JI3204F2,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Roura, Joel",LR3MS4JI323963,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Verden, Jamie",LR3MS4JI321F2C,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"O'Brien, Paul",LR3MS4JI31FE31,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Kane, Will",LR3MS4JI320DE4,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Kenealy O, Myles",LR3MS4JI322ED9,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Blower, Billy",LR3MS4JI321EA7,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Smith, Jac",LR3MS4JI320409,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Hendrie, Charles",LR3MS4JI322FBE,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Walsh, Sean",LR3MS4JI32156F,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Henry, Josh",LR3MS4JI31FCC2,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"M Brame, Jordan",LR3MS4JI321F14,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Mcmenemy, Jack",LR3MS4JI320D83,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Flynn, Michael",LR3MS4JI31FCDE,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Holland, Connor",LR3MS4JI3227FF,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Uscroft-Mould, Danny",LR3MS4JI32385B,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Gilboy, James",LR3MS4JI32176F,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Hanson, Jordan",LR3MS4JI32167B,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Redaoui, Mohamed",LR3MS4JI323997,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Bulpitt, Jordan",LR3MS4JI3232AF,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Solley, Hubie",LR3MS4JI3227DC,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Fahrenheim, Robert",LR3MS4JI320BE6,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Mcguire, Mark",LR3MS4JI320CC4,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Ryan, Terry",LR3MS4JI321FD4,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Warren, Ezra",LR3MS4JI32310B,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Cook, Angus",LR3MS4JI322B5B,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Hancock, Fenton",LR3MS4JI31FCC7,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 CARDIFF,EUROPE,GB,7,PRO MEN,"Penn, Tom",LR3MS4JI32056E,HPRO_CARDIFF25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
