Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Learn, Cole",LR3MS4JI40FA06,HPRO_LR3MS4JIF16,165.0,224.0,214.0,130.0,216.0,163.0,223.0,138.0,223.0,230.0,222.0,94.0,224.0,148.0,251.0,222.0,197.0,1733.0,CAN,30-34,00:54:36,3276
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Kilgore, Greyson",LR3MS4JI40FA01,HPRO_LR3MS4JIF16,165.0,223.0,214.0,130.0,219.0,180.0,223.0,157.0,228.0,232.0,218.0,87.0,222.0,179.0,246.0,234.0,185.0,1731.0,USA,30-34,00:55:33,3333
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Driscoll, Jack",LR3MS4JI411202,HPRO_LR3MS4JIF16,162.0,222.0,217.0,142.0,226.0,211.0,227.0,165.0,230.0,237.0,225.0,85.0,229.0,165.0,243.0,211.0,193.0,1756.0,USA,25-29,00:56:23,3383
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Stiefer, Collin",LR3MS4JI410603,HPRO_LR3MS4JIF16,161.0,220.0,211.0,141.0,219.0,200.0,220.0,177.0,225.0,231.0,226.0,94.0,228.0,183.0,247.0,245.0,190.0,1733.0,USA,–,00:56:50,3410
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Miller, Dawson",LR3MS4JI40F9FF,HPRO_LR3MS4JIF16,169.0,225.0,216.0,142.0,225.0,193.0,224.0,161.0,226.0,213.0,225.0,89.0,226.0,196.0,253.0,251.0,205.0,1758.0,USA,30-34,00:57:07,3427
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Kent, Ryan",LR3MS4JI410E0D,HPRO_LR3MS4JIF16,172.0,224.0,224.0,157.0,223.0,180.0,224.0,143.0,231.0,237.0,224.0,90.0,230.0,176.0,251.0,297.0,195.0,1775.0,USA,35-39,00:57:50,3470
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Puaud Canard, Clément",LR3MS4JI40FA03,HPRO_LR3MS4JIF16,167.0,230.0,224.0,130.0,234.0,211.0,241.0,164.0,243.0,239.0,238.0,86.0,233.0,170.0,261.0,239.0,195.0,1839.0,FRA,25-29,00:58:18,3498
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Walkington, Cole",LR3MS4JI4111FE,HPRO_LR3MS4JIF16,164.0,233.0,215.0,140.0,226.0,229.0,233.0,162.0,229.0,247.0,234.0,108.0,232.0,193.0,244.0,260.0,193.0,1775.0,USA,16-24,00:58:56,3536
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Amsallem, Benjamin",LR3MS4JI410209,HPRO_LR3MS4JIF16,165.0,228.0,218.0,155.0,237.0,169.0,243.0,198.0,242.0,235.0,239.0,87.0,234.0,194.0,274.0,263.0,216.0,1849.0,FRA,30-34,00:59:51,3591
2025 CHICAGO,NORTH AMERICA,US,8,PRO MEN,"Cartee, Colin",LR3MS4JI410208,HPRO_LR3MS4JIF16,180.0,224.0,228.0,111.0,239.0,222.0,250.0,192.0,242.0,246.0,248.0,118.0,244.0,179.0,268.0,207.0,234.0,1894.0,USA,30-34,01:00:23,3623
