Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Eisenlauer, Fabian",LR3MS4JI3CDC73,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Schoonbee, Kyle",LR3MS4JI3CD83D,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Dean, Marc",LR3MS4JI3CDA5E,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Cordua, Gustav",LR3MS4JI3CDB5E,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Gast, Florian",LR3MS4JI3CDA55,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Halliday, Graham",LR3MS4JI3ED732,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Löschke, Franz",LR3MS4JI3CCFED,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Pedrocchi, Tiziano",LR3MS4JI3CD83C,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Storath, Lukas",LR3MS4JI3CD943,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Woodman, Aaron",LR3MS4JI3CDA5A,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Hupkes, Elte",LR3MS4JI3CD839,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Karsch, Marvin",LR3MS4JI3CDEAC,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Weindl, Paul",LR3MS4JI3CCFF1,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Parkin, David",LR3MS4JI3CCFEB,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Friedrich, Jan-niklas",LR3MS4JI3CDB5F,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Dahl, Thomas",LR3MS4JI3CD41A,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Lichtenstein, Gabriel",LR3MS4JI3CCFEE,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Alici, Turker",LR3MS4JI3CD834,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Plantinga, Jannick",LR3MS4JI3CDC75,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Knuth, Nils",LR3MS4JI3CD942,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Magill, Connor",LR3MS4JI3CD51D,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"Gödde, Dennis",LR3MS4JI3CDA5D,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 HAMBURG,EUROPE,DE,8,PRO MEN,"ter Burg, Cem",LR3MS4JI3CDEAE,HPRO_Hamburg25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
