Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Scott, Dylan",LR3MS4JI32D249,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Puaud Canard, Clément",LR3MS4JI32D4F8,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Galloway, Evan",LR3MS4JI32BB14,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Schadegg, Rylan",LR3MS4JI32B88D,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Persegol, Robin",LR3MS4JI32A932,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Newby, Jarrett",LR3MS4JI32B2AC,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Driscoll, Jack",LR3MS4JI32A934,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Mulholland, Lloyd",LR3MS4JI32B0A3,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Hinman, Eric",LR3MS4JI32E7E3,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Olivier, Gerrel",LR3MS4JI32EBE2,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Stevens, Mason",LR3MS4JI32F6A2,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Mouflard, Thomas",LR3MS4JI32BE30,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 NEW YORK,NORTH AMERICA,US,7,PRO MEN,"Key, Malik",LR3MS4JI32E5D0,HPRO_NEWYORK25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
