Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 OSLO,EUROPE,NO,8,PRO MEN,"Ifversen, Sebastian",LR3MS4JI3C3B6A,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Cordua, Gustav",LR3MS4JI3C405F,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Steger, Kenny",LR3MS4JI3C47A5,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Rudi, Lars",LR3MS4JI3C2D22,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Woodward, Erik",LR3MS4JI3C35D9,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Williams, Harvey",LR3MS4JI3C35DF,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Burton, George",LR3MS4JI3C2C31,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Löschke, Franz",LR3MS4JI3C2D27,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Jouve, Olivier",LR3MS4JI3C415F,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Redaoui, Mohamed",LR3MS4JI3C38CE,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Mulholland, Lloyd",LR3MS4JI3C31EF,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Jensen, Simon Buus",LR3MS4JI3C37D6,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Halliday, Graham",LR3MS4JI3C3E4F,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Petersen, Oscar",LR3MS4JI3C34E2,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Bøe, Erik Oscar",LR3MS4JI3C4161,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Brown, Travis",LR3MS4JI3C38CB,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 OSLO,EUROPE,NO,8,PRO MEN,"Kallebäck, David",LR3MS4JI3C34E1,HPRO_OSLO25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
