Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 PARIS,EUROPE,FR,8,PRO MEN,"Levoy, Guillaume",LR3MS4JI3F56FC,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Valentin, Tommy",LR3MS4JI3F5AC9,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Lainé, Théo",LR3MS4JI3F7767,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Garel, Quentin",LR3MS4JI3F4C19,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Jouve, Olivier",LR3MS4JI3F5D33,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Pavis, Louis",LR3MS4JI3F6AC0,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Dufour, Xavier",LR3MS4JI3F6987,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Voisin, Joffrey",LR3MS4JI3F585A,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"PIRES CANTO, Michaël",LR3MS4JI3F776E,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
2025 PARIS,EUROPE,FR,8,PRO MEN,"Barreaud, Sébastien",LR3MS4JI3F521D,HPRO_PARIS25_OVERALL_2,,,,,,,,,,,,,,,,,,,–,–,,
