Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Rodgers, Tom",LR3MS4JI37CA76,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Van Zeeland, Josh",LR3MS4JI37C81B,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Cruz, Tanguy",LR3MS4JI37BE3D,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Slee, Matt",LR3MS4JI37C13C,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Patchitt, Joey",LR3MS4JI37BA29,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Yewers, Kyle",LR3MS4JI37BA26,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Brotherton, Luke",LR3MS4JI37BEE9,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Lovelock, Mitch",LR3MS4JI37CA85,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Shepherd, Sam",LR3MS4JI37C083,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Agars, Lachie",LR3MS4JI37BC94,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Schilling, Billy",LR3MS4JI37C819,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Di Paolo, Anth",LR3MS4JI37CA75,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Marks, Ralph",LR3MS4JI37C5F2,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Watson, Oli",LR3MS4JI37C5F3,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Young, Nathan",LR3MS4JI37BA32,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Finnerty, John",LR3MS4JI37C776,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"O’Loughlin, Aaron",LR3MS4JI37C08A,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Smith, Ben",LR3MS4JI37F53D,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Elliott, Jack",LR3MS4JI37C3AB,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Ferguson, Matthew",LR3MS4JI37BA28,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Corlis, Phil",LR3MS4JI37C2E9,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Woods, Robert",LR3MS4JI37BA33,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Roig, David",LR3MS4JI37C9BB,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Clark, Jay",LR3MS4JI37BE40,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Corrin, Dan",LR3MS4JI37BA2A,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Penny, Luke",LR3MS4JI37C535,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Campbell, Jarrod",LR3MS4JI37BC96,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Clark, Josh",LR3MS4JI37BEF3,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"White, Joshua",LR3MS4JI37BEF2,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Strachan, Brody",LR3MS4JI37BEEF,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mckellar, Cody",LR3MS4JI37BC91,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Marson, Kev",LR3MS4JI37C141,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Dowse, Nic",LR3MS4JI37C3A7,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Buttner, Ryan",LR3MS4JI37BA2D,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Johnston, Tim",LR3MS4JI37C13F,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Day, Peter",LR3MS4JI37F54B,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mc Guire, Jack",LR3MS4JI37BE3C,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mcfarland, Shayne",LR3MS4JI37CA7B,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Wilson, Daniel",LR3MS4JI37C5F5,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Silver, Owen",LR3MS4JI37C2EE,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Kwan, Laurence",LR3MS4JI37C140,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Granger, Hamish",LR3MS4JI37C539,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Tucek, Bay",LR3MS4JI37F53E,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Penny, Jackson",LR3MS4JI37C5F0,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Dixon, Samuel",LR3MS4JI37CA77,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Brennan, Adam",LR3MS4JI37BBD5,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Wood, Jacob",LR3MS4JI37C2EC,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Levi, Adam",LR3MS4JI37BC95,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Cutbush, Sam",LR3MS4JI37C77B,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Thomas, Gene",LR3MS4JI37BA27,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Smith, Aiden",LR3MS4JI37C3A8,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"O’Brien, Clayton",LR3MS4JI37CA7A,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Litton, Matt",LR3MS4JI37C5FA,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Peterson, Leigh",LR3MS4JI37C3A9,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Wright, Chris",LR3MS4JI37BC90,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Le Gallant, Eddie",LR3MS4JI37BC93,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Collett, Zac",LR3MS4JI37C2ED,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Farrugia, Jake",LR3MS4JI37BEFF,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Tauwhare, Lewis",LR3MS4JI37C143,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mcpartland, Mark",LR3MS4JI37B98B,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mcleod, Cam",LR3MS4JI37BA31,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Hill, Dean",LR3MS4JI37CA7E,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Emtsis, Travis",LR3MS4JI37C81F,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Walters, Stewart",LR3MS4JI37B98D,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mcmahon, Samuel",LR3MS4JI37BA2F,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Abbott, Steve",LR3MS4JI37C147,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Hodder, Jake",LR3MS4JI37BE42,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Yalda, Daniel",LR3MS4JI37C3A5,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Turner, Justin",LR3MS4JI37CA7F,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Wynyard, Ryan",LR3MS4JI37BEF5,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mainstone, Rhys",LR3MS4JI37C5F4,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Healy, Jackson",LR3MS4JI37C087,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Heimuli, Mattais",LR3MS4JI37C088,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Sheldrake, Troy",LR3MS4JI37BE41,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Mccall, Scott",LR3MS4JI37BBD7,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Berrie, Dale",LR3MS4JI37C81E,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Bell, Keegan",LR3MS4JI37C5F7,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Quinn, Jaren",LR3MS4JI37CA7C,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 PERTH,OCEANIA,AU,8,PRO MEN,"Karra, Declan",LR3MS4JI37C2F4,HPRO_PERTH25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
