Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Lozano Márquez, Aldo",LR3MS4JI420A6B,HPRO_LR3MS4JI10CE,180.0,237.0,219.0,164.0,238.0,221.0,233.0,201.0,235.0,250.0,231.0,101.0,236.0,231.0,215.0,276.0,225.0,1783.0,MEX,25-29,01:01:25,3685
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Afornali, Derik",LR3MS4JI420A68,HPRO_LR3MS4JI10CE,196.0,251.0,228.0,181.0,227.0,245.0,229.0,176.0,240.0,261.0,235.0,122.0,235.0,246.0,208.0,308.0,234.0,1795.0,BRA,35-39,01:03:35,3815
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Guida, Luiz",LR3MS4JI420E36,HPRO_LR3MS4JI10CE,194.0,233.0,240.0,177.0,234.0,242.0,235.0,207.0,245.0,256.0,243.0,95.0,243.0,216.0,228.0,311.0,261.0,1859.0,BRA,40-44,01:04:14,3854
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Roncancio, Sergio",LR3MS4JI420D5E,HPRO_LR3MS4JI10CE,188.0,250.0,232.0,151.0,251.0,250.0,248.0,194.0,252.0,260.0,253.0,94.0,258.0,247.0,232.0,261.0,258.0,1911.0,COL,25-29,01:04:31,3871
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Oliver, Anthony",LR3MS4JI42088A,HPRO_LR3MS4JI10CE,212.0,251.0,255.0,187.0,264.0,227.0,259.0,194.0,258.0,255.0,260.0,105.0,266.0,232.0,244.0,268.0,251.0,2015.0,FRA,40-44,01:06:19,3979
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Ficcadenti, Santiago",LR3MS4JI420B74,HPRO_LR3MS4JI10CE,203.0,260.0,247.0,188.0,258.0,246.0,259.0,165.0,267.0,263.0,256.0,110.0,276.0,266.0,244.0,253.0,231.0,2006.0,ARG,35-39,01:06:23,3983
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Miranda, Alan",LR3MS4JI420D54,HPRO_LR3MS4JI10CE,221.0,253.0,271.0,139.0,267.0,248.0,265.0,193.0,268.0,253.0,273.0,85.0,279.0,237.0,247.0,275.0,239.0,2088.0,BRA,40-44,01:06:45,4005
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Marques, Renato",LR3MS4JI420E3B,HPRO_LR3MS4JI10CE,185.0,237.0,256.0,128.0,288.0,256.0,283.0,170.0,292.0,269.0,287.0,97.0,286.0,204.0,253.0,253.0,282.0,2127.0,BRA,30-34,01:06:59,4019
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Nogueira, Rafael",LR3MS4JI420897,HPRO_LR3MS4JI10CE,193.0,241.0,257.0,178.0,268.0,251.0,267.0,183.0,278.0,247.0,275.0,106.0,282.0,246.0,257.0,244.0,274.0,2074.0,BRA,40-44,01:07:18,4038
2025 RIO DE JANEIRO,LATIN AMERICA,BR,8,PRO MEN,"Ventura, Hugo",LR3MS4JI420976,HPRO_LR3MS4JI10CE,196.0,252.0,239.0,208.0,256.0,278.0,255.0,146.0,254.0,276.0,265.0,108.0,267.0,231.0,230.0,319.0,269.0,1957.0,POR,45-49,01:07:19,4039
