Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 ROME,EUROPE,IT,8,PRO MEN,"Viciedo Gimeno, Roberto",LR3MS4JI3B95B3,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Toral Leiva, Pedro Antonio",LR3MS4JI3BAD51,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Galloway, Evan",LR3MS4JI3B9C04,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Pratt, Jamie",LR3MS4JI3B91E6,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Iriondo, Jon",LR3MS4JI3B95B2,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Abrami, Samuele Carlo Ayrton",LR3MS4JI3B9050,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Lainé, Théo",LR3MS4JI3B95A7,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Bianchi, Eugenio",LR3MS4JI3B9811,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Dornik, Domen",LR3MS4JI3BA958,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Higgins, Connor",LR3MS4JI3C43AC,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"McCarthy, Luke",LR3MS4JI3C4383,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Caruana, Mark",LR3MS4JI3B9C03,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Jackson, Dan",LR3MS4JI3B904E,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"O’Donnell, Michael",LR3MS4JI3BA7EB,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Benzon, Giovanni",LR3MS4JI3B9810,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Oby-Obi, Junior",LR3MS4JI3BA57B,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Pranjic, Ivan",LR3MS4JI3B9D9B,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Rees, Bodger",LR3MS4JI3C44EA,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Ennis, Luke",LR3MS4JI3BA3F2,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Bucci, Michele",LR3MS4JI3B9813,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"Sutton, MJ",LR3MS4JI3BABDD,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 ROME,EUROPE,IT,8,PRO MEN,"De chirico, Pasquale",LR3MS4JI3B9D90,HPRO_ROME25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
