Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Weindl, Paul",LR3MS4JI44A6E4,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Tvrdik, Tomas",LR3MS4JI3F3971,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Ploj, Alen",LR3MS4JI44B40F,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Greer, Luke",LR3MS4JI44A6CA,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Cao, Alan",LR3MS4JI44969D,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Ifversen, Sebastian",LR3MS4JI44B523,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Steger, Kenny",LR3MS4JI44B0E7,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Cordua, Gustav",LR3MS4JI44AC44,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Osselaer, Louis",LR3MS4JI44A274,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Bingham, Joe",LR3MS4JI44AFA5,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Williams, Harvey",LR3MS4JI44A6CB,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Alici, Turker",LR3MS4JI44A7FD,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Woodward, Erik",LR3MS4JI44B3E6,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Bøe, Erik Oscar",LR3MS4JI44A3B0,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Røssland, Simen",LR3MS4JI44AFA0,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Burton, Hakan",LR3MS4JI44E817,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Dufour, Xavier",LR3MS4JI44A6CE,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Brenner, Christof",LR3MS4JI44AAFC,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Dahl, Thomas",LR3MS4JI44A7FF,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Janssen, Jop",LR3MS4JI44AAFD,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Saltvik, Petter",LR3MS4JI449DFA,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Montreuil, Axel",LR3MS4JI44969F,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"De Albuquerque Eriksson, Stephan",LR3MS4JI44B82B,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Flaten, Øystein",LR3MS4JI4499D2,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Dorninger, Tilen",LR3MS4JI44AAFB,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Dumez, Hubert",LR3MS4JI44AF9D,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2025 STOCKHOLM,EUROPE,SE,8,PRO MEN,"Matsuzaka, Daniel",LR3MS4JI44AFA1,HPRO_ARN25_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
