Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Carrillo Avila, Alan",LR3MS4JI47C618,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Menendez Fernandez, Pelayo",LR3MS4JI47C0BC,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Quintero, Ángel",LR3MS4JI47D616,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Morin, Johan",LR3MS4JI47CE1B,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Fierro Elias, Mario Habib",LR3MS4JI47D617,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Orozco, Jesus",LR3MS4JI47C61A,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Lara, Emilio",LR3MS4JI47C380,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Bouhana, Antoine",LR3MS4JI47CE22,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Morin, Johan",LR3MS4JI47C7B5,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Thomas, Haydn",LR3MS4JI47C375,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Hernandez Espinosa, Miguel",LR3MS4JI47BFB4,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Trujano Acevedo, Jesús Daniel",LR3MS4JI47BDC9,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 CANCUN,NORTH AMERICA,MX,8,PRO MEN,"Pereznegron, Emiliano",LR3MS4JI47BFB5,HPRO_CUN26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
