Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2026 NICE,EUROPE,FR,8,PRO MEN,"Dufour, Xavier",LR3MS4JI46B4E7,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Garel, Quentin",LR3MS4JI46B3A9,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Bernier, Alexis",LR3MS4JI46E7B6,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Valentin, Tommy",LR3MS4JI46AABA,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Dubost, Thomas",LR3MS4JI46A09E,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Pacewicz, Jocelyn",LR3MS4JI46BF0C,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Pinau, Steve",LR3MS4JI46BF08,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Marquet, Arthur",LR3MS4JI46A97E,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Georges, Willy",LR3MS4JI46B4E5,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Jenkins, Fergus",LR3MS4JI46A97D,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Casano, Anthony",LR3MS4JI46A0A2,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Bennafla, Yacine",LR3MS4JI46B3AF,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Delalonde, Thierry",LR3MS4JI46AFF2,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Gretz, Benjamin",LR3MS4JI46A0A9,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Darthout, Valentin",LR3MS4JI46BDDA,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Montreuil, Axel",LR3MS4JI46B8C8,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Teresinho, André",LR3MS4JI46B8CB,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Wu, Cedric",LR3MS4JI46B3A3,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Halgand, Davy",LR3MS4JI46AEA8,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
2026 NICE,EUROPE,FR,8,PRO MEN,"Remond, Killian",LR3MS4JI46A46C,HPRO_NCE26_OVERALL,,,,,,,,,,,,,,,,,,,–,–,,
