Location,Continent,Country,Season,Category,Name,IDP,Event_Code,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Roxzone Time,Run Total,Nationality,Age_Group,Overall_Time,Overall_Time_Sec
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Algret, Pierre",LR3MS4JI4743DA,HPRO_LR3MS4JI128A,235.0,240.0,205.0,135.0,220.0,190.0,220.0,176.0,222.0,244.0,213.0,93.0,217.0,173.0,221.0,249.0,253.0,1752.0,FRA,30-34,00:58:21,3501
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Tucek, Bay",LR3MS4JI47417E,HPRO_LR3MS4JI128A,240.0,243.0,203.0,136.0,220.0,214.0,217.0,170.0,236.0,249.0,220.0,107.0,222.0,193.0,232.0,278.0,263.0,1787.0,AUS,16-24,01:00:36,3636
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Musgrove, Jack",LR3MS4JI4743DB,HPRO_LR3MS4JI128A,239.0,247.0,209.0,164.0,227.0,235.0,220.0,137.0,225.0,257.0,218.0,100.0,225.0,208.0,222.0,267.0,281.0,1781.0,AUS,30-34,01:01:13,3673
2026 TAIPEI,ASIA,TW,8,PRO MEN,"PAREJA VILLAR, ALEJANDRO",LR3MS4JI4743DC,HPRO_LR3MS4JI128A,235.0,238.0,206.0,143.0,207.0,219.0,217.0,164.0,219.0,253.0,218.0,112.0,215.0,195.0,218.0,387.0,280.0,1731.0,ESP,30-34,01:01:57,3717
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Price, Aaron",LR3MS4JI475225,HPRO_LR3MS4JI128A,247.0,254.0,220.0,159.0,223.0,238.0,220.0,181.0,221.0,251.0,220.0,100.0,217.0,205.0,219.0,302.0,251.0,1784.0,AUS,30-34,01:02:01,3721
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Hui, Wai Chung Ryan",LR3MS4JI47488F,HPRO_LR3MS4JI128A,249.0,253.0,217.0,187.0,235.0,232.0,223.0,135.0,223.0,259.0,222.0,113.0,227.0,174.0,235.0,306.0,266.0,1826.0,HKG,16-24,01:02:28,3748
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Graser, Lukas",LR3MS4JI475224,HPRO_LR3MS4JI128A,241.0,241.0,218.0,173.0,222.0,265.0,224.0,180.0,227.0,249.0,230.0,105.0,228.0,206.0,226.0,269.0,279.0,1813.0,GER,30-34,01:02:55,3775
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Wood, Jacob",LR3MS4JI47417F,HPRO_LR3MS4JI128A,255.0,250.0,227.0,198.0,240.0,213.0,242.0,156.0,250.0,251.0,235.0,106.0,233.0,207.0,242.0,275.0,273.0,1920.0,AUS,25-29,01:04:06,3846
2026 TAIPEI,ASIA,TW,8,PRO MEN,"PARK, KIHUN",LR3MS4JI474D5E,HPRO_LR3MS4JI128A,252.0,250.0,223.0,201.0,226.0,261.0,230.0,141.0,231.0,256.0,235.0,127.0,234.0,193.0,235.0,273.0,291.0,1861.0,KOR,25-29,01:04:08,3848
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Montgomery, William",LR3MS4JI474B05,HPRO_LR3MS4JI128A,245.0,225.0,210.0,128.0,233.0,238.0,240.0,189.0,231.0,249.0,223.0,98.0,233.0,249.0,242.0,335.0,301.0,1854.0,AUS,25-29,01:04:21,3861
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Nakamura, Wataru",LR3MS4JI474D5D,HPRO_LR3MS4JI128A,238.0,243.0,222.0,212.0,232.0,254.0,235.0,177.0,233.0,255.0,224.0,126.0,234.0,214.0,229.0,273.0,270.0,1845.0,JPN,30-34,01:04:23,3863
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Wongma, Kajohnsin",LR3MS4JI474896,HPRO_LR3MS4JI128A,242.0,246.0,216.0,175.0,219.0,285.0,226.0,157.0,229.0,263.0,221.0,111.0,225.0,227.0,253.0,266.0,327.0,1828.0,THA,30-34,01:04:41,3881
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Chacon, Louis",LR3MS4JI4743E6,HPRO_LR3MS4JI128A,252.0,255.0,220.0,159.0,234.0,240.0,230.0,199.0,242.0,256.0,229.0,119.0,239.0,229.0,247.0,296.0,274.0,1890.0,FRA,25-29,01:05:12,3912
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Wong, Ting Chun",LR3MS4JI474898,HPRO_LR3MS4JI128A,253.0,250.0,228.0,190.0,244.0,245.0,244.0,155.0,245.0,258.0,238.0,108.0,245.0,190.0,246.0,276.0,303.0,1941.0,HKG,25-29,01:05:13,3913
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Wahedi, Elyas",LR3MS4JI474FAF,HPRO_LR3MS4JI128A,250.0,264.0,220.0,197.0,225.0,223.0,235.0,161.0,245.0,263.0,235.0,110.0,250.0,194.0,244.0,315.0,296.0,1900.0,AUS,40-44,01:05:18,3918
2026 TAIPEI,ASIA,TW,8,PRO MEN,"Ng, Wai Ka",LR3MS4JI4743D8,HPRO_LR3MS4JI128A,250.0,277.0,207.0,203.0,211.0,225.0,213.0,186.0,222.0,260.0,223.0,90.0,225.0,226.0,227.0,434.0,274.0,1774.0,HKG,30-34,01:05:45,3945
